cpt_name,reason,description
CPT_103087 , Type 01 , No record found: CPT_103087
CPT_103107 , Type 05 , Repeated digit - investigating
CPT_103131 , Type 05 , Repeated digit - investigating
CPT_103132 , Type 05 , Repeated digit - investigating
CPT_103135 , Type 05 , Repeated digit - investigating
CPT_103136 , Type 05 , Repeated digit - investigating
CPT_103138 , Type 05 , Repeated digit - investigating
CPT_103146 , Type 05 , Repeated digit - investigating
CPT_103149 , Type 05 , Repeated digit - investigating
CPT_103151 , Type 05 , Repeated digit - investigating
CPT_103153 , Type 05 , Repeated digit - investigating
CPT_103160 , Type 05 , Repeated digit - investigating
CPT_103169 , Type 05 , Repeated digit - investigating
CPT_103172 , Type 05 , Repeated digit - investigating
CPT_103179 , Type 07 , depth range <5: 4.98
CPT_103183 , Type 05 , Repeated digit - investigating
CPT_103189 , Type 05 , Repeated digit - investigating
CPT_103190 , Type 06 , depth<5: 3.5
CPT_103192 , Type 06 , depth<5: 2.68
CPT_103193 , Type 06 , depth<5: 4.14
CPT_103194 , Type 05 , Repeated digit - investigating
CPT_103195 , Type 01 , No record found: CPT_103195
CPT_103196 , Type 06 , depth<5: 0.84
CPT_103198 , Type 06 , depth<5: 0.52
CPT_1032 , Type 06 , depth<5: 4.76
CPT_103202 , Type 06 , depth<5: 4.4
CPT_103205 , Type 06 , depth<5: 1.3
CPT_103206 , Type 02 ,Duplicate location
CPT_103228 , Type 06 , depth<5: 4.32
CPT_103236 , Type 05 , Repeated digit - investigating
CPT_103282 , Type 06 , depth<5: 4.85
CPT_10329 , Type 06 , depth<5: 4.33
CPT_10330 , Type 02 ,Duplicate location
CPT_103340 , Type 05 , Repeated digit - investigating
CPT_103344 , Type 05 , Repeated digit - investigating
CPT_103350 , Type 01 , No record found: CPT_103350
CPT_10337 , Type 06 , depth<5: 2.37
CPT_103390 , Type 05 , Repeated digit - investigating
CPT_103391 , Type 06 , depth<5: 4.58
CPT_103393 , Type 05 , Repeated digit - investigating
CPT_103396 , Type 05 , Repeated digit - investigating
CPT_103404 , Type 05 , Repeated digit - investigating
CPT_103413 , Type 05 , Repeated digit - investigating
CPT_103437 , Type 05 , Repeated digit - investigating
CPT_103441 , Type 05 , Repeated digit - investigating
CPT_103460 , Type 06 , depth<5: 3.36
CPT_103461 , Type 06 , depth<5: 3.7
CPT_103462 , Type 06 , depth<5: 2.12
CPT_103463 , Type 06 , depth<5: 2.44
CPT_103471 , Type 06 , depth<5: 3.41
CPT_10350 , Type 02 ,Duplicate location
CPT_103532 , Type 01 , No record found: CPT_103532
CPT_103533 , Type 01 , No record found: CPT_103533
CPT_103534 , Type 01 , No record found: CPT_103534
CPT_103535 , Type 01 , No record found: CPT_103535
CPT_103536 , Type 01 , No record found: CPT_103536
CPT_103537 , Type 01 , No record found: CPT_103537
CPT_103538 , Type 01 , No record found: CPT_103538
CPT_103539 , Type 01 , No record found: CPT_103539
CPT_10355 , Type 06 , depth<5: 2.07
CPT_10356 , Type 06 , depth<5: 3.01
CPT_10363 , Type 05 , Repeated digit - investigating
CPT_103645 , Type 01 , No record found: CPT_103645
CPT_103646 , Type 01 , No record found: CPT_103646
CPT_103647 , Type 01 , No record found: CPT_103647
CPT_103648 , Type 01 , No record found: CPT_103648
CPT_103650 , Type 01 , No record found: CPT_103650
CPT_103651 , Type 01 , No record found: CPT_103651
CPT_10371 , Type 05 , Repeated digit - investigating
CPT_103742 , Type 05 , Repeated digit - investigating
CPT_103743 , Type 05 , Repeated digit - investigating
CPT_103745 , Type 05 , Repeated digit - investigating
CPT_103746 , Type 02 ,Duplicate location
CPT_103747 , Type 02 ,Duplicate location
CPT_103751 , Type 05 , Repeated digit - investigating
CPT_103774 , Type 01 , No record found: CPT_103774
CPT_103783 , Type 05 , Repeated digit - investigating
CPT_103784 , Type 05 , Repeated digit - investigating
CPT_103785 , Type 05 , Repeated digit - investigating
CPT_103789 , Type 07 , depth range <5: 4.74
CPT_103795 , Type 06 , depth<5: 3.22
CPT_103798 , Type 05 , Repeated digit - investigating
CPT_103803 , Type 06 , depth<5: 1.54
CPT_103820 , Type 06 , depth<5: 3.8
CPT_103821 , Type 06 , depth<5: 0.7
CPT_103822 , Type 06 , depth<5: 3.92
CPT_103823 , Type 06 , depth<5: 2.22
CPT_103824 , Type 06 , depth<5: 3.64
CPT_103825 , Type 06 , depth<5: 1.2
CPT_103826 , Type 07 , depth range <5: 3.2800000000000002
CPT_103827 , Type 06 , depth<5: 2.98
CPT_103828 , Type 06 , depth<5: 2.4
CPT_103829 , Type 06 , depth<5: 2.08
CPT_103830 , Type 06 , depth<5: 2.24
CPT_103831 , Type 06 , depth<5: 2.18
CPT_103832 , Type 06 , depth<5: 2.78
CPT_10385 , Type 05 , Repeated digit - investigating
CPT_103860 , Type 06 , depth<5: 3.4
CPT_103861 , Type 06 , depth<5: 3.46
CPT_103862 , Type 06 , depth<5: 1.82
CPT_103863 , Type 06 , depth<5: 2.7
CPT_103864 , Type 06 , depth<5: 2.42
CPT_103866 , Type 06 , depth<5: 3.48
CPT_103869 , Type 06 , depth<5: 3.98
CPT_10387 , Type 02 ,Duplicate location
CPT_103871 , Type 06 , depth<5: 2.46
